iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
TJK,Asia,Tajikistan,5/1/2020,15,15,,,,,1.539,1.539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.07,9749625,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668,,,,
TJK,Asia,Tajikistan,5/2/2020,32,17,,,,,3.282,1.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.07,9749625,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668,,,,
TJK,Asia,Tajikistan,5/3/2020,76,44,,2,2,,7.795,4.513,,0.205,0.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.07,9749625,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668,,,,
TJK,Asia,Tajikistan,5/4/2020,128,52,,4,2,,13.129,5.334,,0.41,0.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.07,9749625,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668,,,,
TJK,Asia,Tajikistan,5/5/2020,230,102,,7,3,,23.591,10.462,,0.718,0.308,,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.07,9749625,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668,,,,
TJK,Asia,Tajikistan,5/6/2020,293,63,,7,0,,30.052,6.462,,0.718,0,,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.07,9749625,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668,,,,
TJK,Asia,Tajikistan,5/7/2020,379,86,54.143,9,2,,38.873,8.821,5.553,0.923,0.205,,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.07,9749625,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668,,,,
TJK,Asia,Tajikistan,5/8/2020,461,82,63.714,16,7,,47.284,8.411,6.535,1.641,0.718,,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.07,9749625,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668,,,,
TJK,Asia,Tajikistan,5/9/2020,522,61,70,18,2,2.571,53.541,6.257,7.18,1.846,0.205,0.264,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63,9749625,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668,,,,
TJK,Asia,Tajikistan,5/10/2020,561,39,69.286,19,1,2.429,57.541,4,7.107,1.949,0.103,0.249,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63,9749625,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668,,,,
