iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
TKM,Asia,Turkmenistan,2/28/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51746,32240,19506,,,,0.85,0.53,0.32,,,,,58.33,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,3/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,3/2/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,3/3/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,3/4/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,3/5/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,3/6/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,3/7/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,3/8/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,62.04,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
TKM,Asia,Turkmenistan,3/9/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41369,,,,,6762,23860,0.39,65.74,6117933,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,,,,
