iso_code,location,continent,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,,,
AFG,Asia,Afghanistan,,59464846,175901,174748.273,2590596,7639,7626.566,1492762.828,4415.697,4386.754,65032.451,191.734,191.458,757.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106559265,88061683,68893754,0,13742,5574690,267.54,221.06,172.93,0,139936,4937233,12.441,26936.42,29717229288,40598.812,13875.6,1925.426,997.402,1345774.302,0,445383.634,7154.14,0,0,28158.516,373,48363.18,381.206,0,0,0,0,0,0,0
ARM,Asia,Armenia,,127177010,421714,421402.437,2550677,8565,8512.278,42847549.03,142080.813,141975.832,859355.458,2885.691,2867.909,752.7,0,0,0,0,0,0,0,0,2920038,736999201,248304.385,983.792,2910420,980.553,113.083,9789.7,0,32883259,18528735,13128379,74444,0,2015312,1107.88,624.25,442.33,2.51,678986,1086225,36.6,0,2276554176,78948.077,27381.9,8614.944,5806.957,6740073.86,1380.6,261554.67,5453.37,1150.5,39960.7,72130.981,3221.4,57594.03,595.192,221478.9,623.54,977.81,74619.05282,0,0,0
AZE,Asia,Azerbaijan,,198521491,790153,789437.867,2666472,9575,9530.154,19418449.68,77289.103,77219.133,260821.894,936.602,932.205,752.71,0,0,0,0,0,0,0,0,1709563,967621446,94648.236,167.221,3352665,327.942,37.2391,8068.1,0,2097890698,1011956281,866046456,149578210,10248704,13152151,20520.61,9898.42,8471.19,1463.11,1286486,5317354,52.005,49316.7,7565274560,88288.66,23976,4453.32,2864.54,11727090.06,0,414260.88,5261.4,222,31450,61598.34,3478,54020,559.44,399169.2,511.75,859.85,39044.87612,0,0,0
BHR,Asia,Bahrain,,120569710,533748,528767.135,516505,1518,1453.593,68964167.95,305296.317,302447.307,295433.499,868.295,831.431,772.25,0,0,0,0,0,0,0,0,5907237,1972215008,1128079.073,3378.867,9437621,5398.176,34.4705,65860,0,768584770,357437605,316884109,45416384,2927653,3349744,43961.93,20444.75,18125.25,2597.78,1915996,1206395,69.006,39506.11,1304228070,1444186.622,24170.4,1769.512,1034.702,32294865.93,0,113159.994,12323.92,4326.8,28049.6,0,1492,57658.34,635.592,0,0,0,0,0,0,0
BGD,Asia,Bangladesh,,580169913,1948798,1947639.005,9431679,29100,29085.415,3488621.287,11718.321,11711.352,56713.655,174.894,174.906,738.02,0,0,0,0,0,0,0,0,13527500,3798235482,22839.182,81.354,13468089,80.974,90.1125,13371.7,0,9356591453,5825000311,3492736362,39225898,90757343,215863601,5626.18,3502.52,2100.21,23.62,1297997,125154935,75.245,51617.4,1.22732E+11,933596.568,20295,3762.324,2407.356,2600700.192,10922.4,219926.214,6184.44,738,32988.6,25688.304,590.4,53571.42,466.416,0,0,0,0,0,0,0
BTN,Asia,Bhutan,,1209809,16277,15180.74,973,7,6.006,1551236.057,20870.602,19464.935,1247.603,8.974,7.686,491.83,0,0,0,0,0,0,0,0,1711669,323826981,415216.039,2194.734,1678579,2152.272,2.4659,1278875.9,0,74311244,49011401,17359718,351962,862033,1850040,9528.32,6284.38,2225.92,45.13,2372149,857397,109.933,49310.38,573226500,15573.18,21021,3590.475,2188.095,6400818.795,1102.5,159543.51,7166.25,0,0,58658.145,1249.5,52758.3,480.69,0,0,0,0,0,0,0
BRN,Asia,Brunei,,27838314759,119726775,117200043.9,400487779,1310061,1284935.505,706789468.2,3779087.297,3685118.401,6622129.09,24338.255,24006.021,28360.25,650905,24488.914,4525067,216801.031,50863,4947.302,4716762,189039.142,1564728835,3.98879E+11,9676198.669,46297.815,1727300613,52672.278,1353.8034,8484877.8,0,1.17833E+12,3.37858E+11,2.31148E+11,16958683982,6284884984,7186938002,821220.14,372124.11,296710.17,49719.73,63707892,2645141311,2716.525,1754134.92,3.39511E+12,33786900.14,981086.8,208522.234,134125.211,801445753.9,105105.5,8389464.68,272265.79,129955.8,996820.6,1093413.476,84550.23,2379937.46,22503.247,15428695.2,5604.81,10329.88,319149.5239,0,0,0
KHM,Asia,Cambodia,,29435357,133501,132677.579,632424,3044,3040.719,1736963.438,7877.798,7829.194,37318.948,179.596,179.422,561,0,0,0,0,0,0,0,0,317140,116242468,6859.397,18.714,1771028,104.547,18.6338,22177.6,0,6351110000,3161949361,2795087688,600002098,35081225,35901445,37477.54,18658.43,16493.63,3540.61,2118517,14685937,86.654,38409.06,13116549204,70180.128,19814.4,3414.888,1845.99,2821284.18,0,209670.408,3096,1548,26083.8,51261.246,619.2,54040.68,459.756,0,0,0,0,0,0,0
CHN,Asia,China,,68810662,112399,109197.704,3411146,4640,4585.866,47645.682,77.834,75.604,2361.986,3.21,3.173,846.34,0,0,0,0,0,0,0,0,0,250000000,173.105,0,60232559,41.699,0,5669418.8,0,6.44988E+11,15236276000,29063728000,1715606000,3094524000,3160119067,44660.02,1054.97,2012.42,118.79,2188110,664373055,46.016,55085.8,1.12504E+12,115038.046,30147.3,8289.339,4618.691,11925486.65,545.3,204019.321,7587.46,1480.1,37703.6,0,3380.86,59912.89,592.819,0,0,0,0,0,0,0
GEO,Asia,Georgia,,267425099,1631900,1626692.864,3492231,16485,16395.025,67196068.46,410048.516,408740.116,877495.03,4142.18,4119.59,761.48,0,0,0,0,0,0,0,0,13516998,2353622831,591396.248,3396.426,13429887,3374.523,44.7325,9210.6,0,323365030,181487838,138671398,80818,1417514,2827530,8125.15,4560.25,3484.46,2.03,710470,1578473,39.662,44246.73,2960951112,48383.808,28792.8,11058.816,7621.536,7250338.776,3124.8,369186.192,5289.84,3943.2,41292,0,1934.4,54884.88,604.128,48388.2,92.04,195.21,12158.53266,0,0,0
