x,y
34889132,21.2
34922882,21.2
34960261,21.2
35018358,21.2
35109286,21.2
35226386,21.2
35368372,21.2
35528004,21.2
35707727,21.2
35875790,21.2
36070510,21.2
36317927,21.2
36582129,21.2
36850962,21.2
37122164,21.2
37380253,21.2
37618271,21.2
37901241,21.2
38218773,21.2
38566027,21.2
38903731,21.2
39237264,21.2
39543328,21.2
39799202,21.2
40085116,21.2
40371500,21.2
40622709,21.2
40858241,21.2
41092522,21.2
41302440,21.2
41469499,21.2
41630885,21.2
41803318,21.2
41952712,21.2
42080664,21.2
42188138,21.2
42272014,21.2
42339611,21.2
42410976,21.2
42478060,21.2
42536137,21.2
42586544,21.2
42631421,21.2
42665534,21.2
42692943,21.2
42723558,21.2
42754315,21.2
42780235,21.2
42802505,21.2
42822473,21.2
42838524,21.2
42851929,21.2
42867031,21.2
42881179,21.2
42894345,21.2
42905844,21.2
42916117,21.2
42924130,21.2
42931045,21.2
42938599,21.2
42945160,21.2
42951556,21.2
42957477,21.2
42962953,21.2
42967315,21.2
42971308,21.2
42975883,21.2
42980067,21.2
42984261,21.2
42987875,21.2
42990991,21.2
