iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AUS,Oceania,Australia,1/26/2020,4,4,,,,,0.155,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,-532.6,-4.47,-0.48,-20.65284312
AUS,Oceania,Australia,1/27/2020,5,1,,,,,0.194,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,1/28/2020,5,0,,,,,0.194,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,1/29/2020,6,1,,,,,0.233,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,1/30/2020,9,3,,,,,0.349,0.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,1/31/2020,9,0,,,,,0.349,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2/1/2020,12,3,1.714,,,,0.465,0.116,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2/2/2020,12,0,1.143,,,,0.465,0,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,-660.4,-4.44,-4.33,-25.60859481
AUS,Oceania,Australia,2/3/2020,12,0,1,,,,0.465,0,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2/4/2020,13,1,1.143,,,,0.504,0.039,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2/5/2020,13,0,1,,,,0.504,0,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2/6/2020,14,1,0.714,,,,0.543,0.039,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2/7/2020,15,1,0.857,,,,0.582,0.039,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2/8/2020,15,0,0.429,,,,0.582,0,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2/9/2020,15,0,0.429,,,,0.582,0,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,-765.6,-4.29,-3.56,-29.68797726
