new_cases,population
5,39835428
0,39835428
0,39835428
0,39835428
0,39835428
0,39835428
0,39835428
0,39835428
0,39835428
0,39835428
0,39835428
0,39835428
3,39835428
0,39835428
0,39835428
0,39835428
3,39835428
0,39835428
0,39835428
3,39835428
6,39835428
5,39835428
1,39835428
0,39835428
0,39835428
,39835428
0,39835428
10,39835428
6,39835428
2,39835428
32,39835428
6,39835428
11,39835428
15,39835428
8,39835428
0,39835428
52,39835428
26,39835428
43,39835428
34,39835428
1,39835428
29,39835428
38,39835428
30,39835428
56,39835428
21,39835428
77,39835428
0,39835428
34,39835428
52,39835428
58,39835428
105,39835428
24,39835428
51,39835428
63,39835428
25,39835428
63,39835428
30,39835428
66,39835428
84,39835428
50,39835428
104,39835428
133,39835428
68,39835428
172,39835428
124,39835428
0,39835428
344,39835428
298,39835428
0,39835428
0,39835428
0,39835428
755,39835428
168,39835428
171,39835428
0,39835428
839,39835428
262,39835428
303,39835428
0,39835428
372,39835428
714,39835428
349,39835428
233,39835428
437,39835428
583,39835428
490,39835428
531,39835428
540,39835428
736,39835428
716,39835428
512,39835428
737,39835428
548,39835428
637,39835428
643,39835428
784,39835428
651,39835428
656,39835428
742,39835428
775,39835428
624,39835428
1078,39835428
582,39835428
791,39835428
575,39835428
305,39835428
920,39835428
748,39835428
656,39835428
556,39835428
664,39835428
761,39835428
106,39835428
1241,39835428
463,39835428
541,39835428
419,39835428
536,39835428
310,39835428
338,39835428
159,39835428
535,39835428
85,39835428
356,39835428
351,39835428
271,39835428
121,39835428
403,39835428
260,39835428
302,39835428
348,39835428
279,39835428
113,39835428
320,39835428
210,39835428
59,39835428
541,39835428
157,39835428
100,39835428
4,39835428
285,39835428
200,39835428
130,39835428
159,39835428
60,39835428
186,39835428
34,39835428
106,39835428
112,39835428
188,39835428
66,39835428
55,39835428
121,39835428
106,39835428
105,39835428
103,39835428
71,39835428
0,39835428
168,39835428
0,39835428
0,39835428
37,39835428
82,39835428
67,39835428
41,39835428
78,39835428
39,39835428
0,39835428
