x,y
91198,
91228,
91312,
91451,
91561,
92112,
92252,
92371,
92453,
92530,
92649,
92830,
92989,
93117,
93278,
93364,
93451,405959
93571,422407
93571,439457
93846,456410
93949,474596
94063,478454
94177,
94625,498162
94397,
94491,537449
94651,556205
94784,574247
94905,
95022,579009
95093,594479
95288,
95463,628986
95545,646466
95545,
95817,
95835,667444
96021,
96289,
96502,723602
96705,
96851,760771
96985,764447
96993,766629
97250,785483
97431,
97520,831872
97955,855139
98298,
98617,882651
98667,884447
98804,
98868,932096
98978,966165
99018,
99145,1035596
99191,
99229,1048137
99412,
99430,1162202
99458,
99499,
99517,1342654
99543,1359275
99543,1363737
99609,1417569
99625,1417569
99656,1471593
99681,1524310
99709,1628556
99712,1628556
