new_cases,extreme_poverty
65,
10795,
69,1.1
19,0.5
0,
54,
0,
0,
2986,0.6
111,1.8
0,
972404,
33495,0.5
44465,0.7
197,
3,
1176,
198,14.8
117,
1931,
,0.2
0,
0,49.6
,
484,1.5
253,7.1
0,
,0.2
0,
47796,3.4
0,
2602,
960,1.5
0,43.7
0,71.7
205,
0,23.8
1089,0.5
0,
,
0,
0,38.4
,1.3
474,0.7
677,4.5
0,18.1
0,37
0,
,1.3
17,28.2
1575,0.7
613,
,
2812,
8391,
0,77.1
7091,0.2
0,22.5
0,
,1.6
,3.6
,1.3
0,2.2
1,
1,
1880,0.5
21,
17,26.7
440431,
384920,
0,
0,
0,1.4
,
,
,
0,3.4
0,10.1
1243,4.2
146847,
0,12
0,
19002,1.5
0,
0,
1965,8.7
0,35.3
0,67.1
20,
8,23.5
889828,
2015,16
15789,
,0.5
,0.2
3116,21.2
14900,5.7
0,
2219,0.2
366,2.5
,0.2
,
5410,0.5
54720,2
36,
55226,
,0.1
222,0.1
11,36.8
3,
32,0.6
259,
13,1.4
427,22.7
6525,0.7
763,
0,59.6
0,38.6
,
236,
3125,0.7
236,
489519,
,0.2
0,
79,77.6
9,71.4
26250,0.1
204,
5,
127,0.2
0,
0,6
,0.5
13765,2.5
0,16
571,0.2
41,
,0.5
97,1
0,
60,1
8,62.9
641,6.4
0,13.4
30,15
60048,
,
14533,
0,3.2
1,44.5
59,
30400,
277,5
3194,0.2
48269,
,
609,4
0,
,1
,2.2
,
113,1.7
1039,3.5
654,
11113,
,0.5
82,
2743,5.7
47096,0.1
7,56
0,
2,
0,
0,
0,
2,
0,
0,32.3
135,
0,38
1967,
,1.1
0,52.2
12632,
11211,0.7
2285,
,25.1
0,
1570,18.9
54389,
350176,0.2
0,
,1
347,0.7
0,
14,
,0.5
,
41,
62,
0,4.8
,49.1
,0.1
5,30.3
2,49.2
193,
325,
8171,2
20465,0.2
0,
0,41.6
0,0.1
353,
,0.2
10462,1.2
177105,
1212,0.1
40,
43,13.2
0,
279,
454212,2
0,
1556688,10
1,18.8
162,57.5
521,21.4
