x,y
3969.005,184.66
3971.063,184.785
3970.913,184.861
3971.465,184.886
3972.469,184.936
3973.222,184.936
3973.85,184.961
3974.076,184.986
3975.883,185.087
3976.209,185.087
3978.142,185.112
3979.146,185.162
3981.431,185.162
3982.36,185.162
3983.339,185.212
3984.318,185.237
3987.054,185.287
3990.769,185.338
3993.179,185.413
3999.028,185.413
4004.375,185.513
4005.179,185.513
4007.714,185.589
4013.914,185.589
4022.851,185.689
4033.897,185.789
4041.729,185.84
4043.059,185.84
4048.908,185.89
4069.518,185.965
4089.977,186.116
4105.767,186.191
4121.708,186.216
4135.188,186.266
4151.029,186.266
4159.89,186.392
4171.94,186.568
4190.34,186.819
4210.799,187.12
4231.158,187.396
4253.701,187.697
4266.052,187.722
4271.374,187.973
4282.72,188.124
4298.837,188.3
4303.255,188.375
4305.69,188.601
4309.556,188.877
4314.175,188.927
4316.032,189.128
4322.911,189.254
4328.835,189.505
4335.739,190.007
4340.383,190.132
4344.048,190.233
4344.977,190.258
4346.533,190.408
4352.784,190.609
4359.411,190.735
4364.934,191.011
4369.804,191.212
4373.343,191.262
4373.343,191.262
4376.28,191.337
4382.581,191.362
4393.074,191.438
4401.936,191.538
4406.254,191.689
4415.492,191.764
4417.525,191.789
4419.157,191.814
7132.744,166.464
7149.516,166.573
7169.549,166.757
7211.843,167.047
7252.059,167.256
7294.026,167.824
7329.308,168.074
7360.164,168.302
7381.057,168.491
7404.088,168.711
7432.095,168.949
7461.133,169.268
7495.063,169.518
7524.398,169.748
7551.319,170.026
7564.001,170.211
7585.989,170.506
7605.611,170.736
7631.26,170.904
7667.195,171.277
7694.441,171.531
7724.341,171.805
7736.341,172.01
7755.944,172.516
7796.767,172.54
7821.16,172.779
7848.466,173.062
7869.257,173.301
7893.263,173.586
7905.193,173.77
7926.606,174.006
7946.266,174.323
7960.571,174.62
7983.771,174.938
7996.558,175.056
8012.892,175.427
8024.97,175.587
8036.124,175.927
8048.759,176.347
8064.36,176.752
8079.675,177.058
8093.007,177.31
8103.133,177.605
8111.532,177.687
8121.627,178.018
8131.747,178.251
8144.944,178.483
8157.75,178.94
8169.946,179.322
8176.767,179.635
8187.87,179.797
8196.04,180.077
8205.504,180.224
8215.399,180.417
8224.382,180.546
8233.191,180.705
8239.561,180.82
8245.76,180.956
8251.4,181.162
8256.755,181.217
8261.659,181.307
8266.103,181.4
8271.099,181.454
8276.252,181.526
8278.745,181.56
8281.571,182.358
8293.164,182.411
8296.938,182.482
8309.341,182.565
8313.274,182.608
8321.134,182.629
73173.975,1119.761
73404.053,1120.805
73404.053,1120.805
73799.468,1122.198
73799.468,1122.198
74229.69,1123.59
74803.32,1125.33
74803.32,1125.33
76470.257,1127.767
76746.281,1128.115
77504.043,1130.203
78167.128,1132.292
78873.375,1132.988
79631.833,1135.425
80384.722,1136.469
80975.407,1137.861
81329.401,1138.557
82315.152,1140.646
83235.118,1142.734
84064.583,1143.778
84993.947,1145.867
85770.157,1147.607
86347.267,1150.392
86347.267,1150.392
86621.899,1152.828
87372.352,1154.569
87916.047,1156.657
88455.217,1158.746
88455.217,1158.746
89017.36,1160.486
89992.67,1164.663
89992.67,1164.663
90931.431,1170.232
90931.431,1170.232
91603.914,1173.365
91603.914,1173.365
92109.321,1176.498
92196.688,1178.934
92489.42,1181.023
92733.074,1183.111
92943.312,1184.155
92943.312,1184.155
93128.14,1185.896
93287.211,1186.94
93390.241,1188.332
93455.332,1190.421
93611.618,1191.465
93737.273,1193.901
93841.696,1194.598
93947.163,1194.946
94037.663,1196.686
94109.367,1199.123
94138.953,1201.211
94236.067,1201.907
94310.207,1203.299
94377.734,1203.648
94377.734,1203.648
94512.091,1205.736
94524.622,1207.476
94573.004,1208.521
94615.818,1209.217
94615.818,1209.217
94687.173,1210.609
