x,y
5,
5,
5,
5,
5,
5,
5,
5,
5,
5,
5,
5,
8,
8,
8,
8,
11,
11,
11,
14,
20,
25,
26,
26,
26,
24,
24,
34,
40,
42,
74,
80,
91,
106,
114,
114,
166,
192,
235,
269,
270,
299,
337,
367,
423,
444,
521,
521,
555,
607,
665,
770,
794,
845,
908,
933,
996,
1026,
1092,
1176,
1226,
1330,
1463,
1531,
1703,
1827,
1827,
2171,
2469,
2469,
2469,
2469,
3224,
3392,
3563,
3563,
4402,
4664,
4967,
4967,
5339,
6053,
6402,
6635,
7072,
7655,
8145,
8676,
9216,
9952,
10668,
11180,
11917,
12465,
13102,
13745,
14529,
15180,
15836,
16578,
17353,
17977,
19055,
19637,
20428,
21003,
21308,
22228,
22976,
23632,
24188,
24852,
25613,
25719,
26960,
27423,
27964,
28383,
28919,
29229,
29567,
29726,
30261,
30346,
30702,
31053,
31324,
31445,
31848,
32108,
32410,
32758,
33037,
33150,
33470,
33680,
33739,
34280,
34437,
34537,
34541,
34826,
35026,
35156,
35315,
35375,
35561,
35595,
35701,
35813,
36001,
36067,
36122,
36243,
36349,
36454,
36557,
36628,
36628,
36796,
36796,
36796,
36833,
36915,
36982,
37023,
37101,
37140,
37140,
37355,
37431,
37510,
37517,
37637,
37682,
37682,
37685,
37685,
37845,
37942,
37980,
38039,
38085,
38156,
38199,
38215,
38226,
38229,
38229,
38248,
38282,
38329,
38374,
38374,
38390,
38484,
38580,
38606,
38630,
38658,
38692,
38727,
38802,
38858,
38901,
38941,
38958,
38969,
39005,
39130,
39160,
39182,
39231,
39256,
39272,
39278,
39313,
39325,
39340,
39354,
39371,
39376,
39383,
39427,
39508,
39572,
39634,
39702,
39779,
39789,
39885,
39956,
40014,
40080,
40112,
40159,
40227,
40286,
40373,
40461,
40461,
40510,
40626,
40687,
40768,
40833,
40937,
41032,
41145,
41268,
41334,
41425,
41501,
41633,
41728,
41814,
41935,
41975,
42033,
42159,
42297,
42463,
42609,
42795,
42969,
43035,
43240,
43403,
43628,
43851,
44228,
44443,
44503,
44706,
44988,
45278,
45490,
45716,
45839,
45966,
46215,
46498,
46717,
46980,
47258,
47388,
47641,
47901,
48136,
48366,
48540,
48753,
48826,
48952,
49273,
49484,
49703,
49927,
50202,
50456,
50536,
50678,
50888,
51070,
51357,
51595,
51764,
51848,
52007,
52147,
52330,
52330,
52513,
52586,
52709,
52909,
53011,
53105,
53207,
53332,
53400,
53489,
53538,
53584,
53690,
53775,
53831,
53938,
53984,
54062,
54141,
54278,
54403,
54483,
54559,
54595,
54672,
54750,
54854,
54891,
54939,
55008,
55023,
55059,
55121,
55174,
55231,
55265,
55330,
55335,
55359,
55384,
55402,
55420,
55445,
55473,
55492,
55514,
55518,
55540,
55557,
55575,
55580,
55604,
55617,
55646,
55664,
55680,
55696,
55707,
55714,
55733,
55759,
55770,
55775,
55827,
55840,
55847,
55876,
55876,
55894,
55917,
55959,
55959,
55985,
55985,
55995,
56016,
56044,
56069,
56093,
56103,
56153,
56177,
56192,
56226,
56254,
56290,
56294,
56322,
56384,
56454,
56517,
56572,
56595,
56676,
56717,
56779,
56873,
56943,
