x,y
76517.531,216.693
76777.763,216.993
77029.487,217.094
77287.818,217.194
77558.859,217.194
77827.799,217.194
78090.734,217.194
78356.47,217.494
78632.617,217.594
78889.045,217.594
79140.369,217.894
79402.203,218.295
79670.742,218.395
79977.816,218.695
80289.694,218.995
80596.668,219.296
80895.835,219.696
81175.284,219.996
81465.743,220.196
81767.412,220.597
82059.773,220.897
82362.042,221.297
82643.593,221.598
82906.728,222.098
83157.351,222.598
83394.463,222.999
83658.498,223.399
83913.225,223.599
84148.936,224.1
84378.24,224.2
84581.221,224.5
84789.807,225.001
85006.3,225.301
85229.699,225.501
85441.288,226.002
85640.566,226.402
85842.246,226.602
86012.798,226.702
86174.442,227.103
86328.379,227.503
86487.321,228.003
86634.852,228.504
86774.477,228.604
86901.19,228.704
87020.396,228.904
87113.479,229.004
87209.265,229.104
87298.844,229.204
87387.123,229.405
87466.194,229.505
87538.758,229.605
87603.916,229.805
87666.572,229.905
87740.638,230.005
87818.908,230.105
87888.57,230.205
87953.028,230.305
88015.283,230.305
88075.837,230.305
88123.68,230.305
88175.626,230.305
88225.871,230.305
88270.611,230.305
88326.461,230.305
88367.197,230.305
88405.831,230.405
88438.16,230.405
88477.395,230.405
88514.328,230.405
88552.562,230.405
88587.894,230.405
